[2024-10-19T22:36:36+05:30] UserID: 1257658173, Command: ls
[2024-10-19T22:36:41+05:30] UserID: 1257658173, Command: getId
[2024-10-19T22:36:47+05:30] UserID: 1257658173, Command: /getId
[2024-10-19T22:43:52+05:30] UserID: 1257658173, Command: ls
[2024-10-19T22:44:05+05:30] UserID: 1257658173, Command: sudo
[2024-10-19T22:44:13+05:30] UserID: 1257658173, Command: su
[2024-10-19T22:45:19+05:30] UserID: 7991366741, Command: Helki
[2024-10-19T22:45:30+05:30] UserID: 7991366741, Command: Ls
[2024-10-19T22:45:34+05:30] UserID: 7991366741, Command: ls
[2024-10-19T23:15:11+05:30] UserID: 1257658173, Command: /sudoPassword
[2024-10-19T23:15:34+05:30] UserID: 1257658173, Command: su
[2024-10-19T23:19:25+05:30] UserID: 1257658173, Command: su
[2024-10-19T23:21:18+05:30] UserID: 1257658173, Command: su
[2024-10-19T23:27:49+05:30] UserID: 1257658173, Command: /sudopasswd k3v1n
[2024-10-19T23:27:58+05:30] UserID: 1257658173, Command: /sudopasswd
[2024-10-19T23:28:06+05:30] UserID: 1257658173, Command: /sudoPasswd
[2024-10-19T23:32:10+05:30] UserID: 7991366741, Command: 🖖
[2024-10-19T23:32:43+05:30] UserID: 7302237680, Command: ls
[2024-10-19T23:32:53+05:30] UserID: 7991366741, Command: ls
[2024-10-19T23:32:58+05:30] UserID: 7991366741, Command: ls
[2024-10-19T23:42:47+05:30] UserID: 7991366741, Command: ls
[2024-10-19T23:42:55+05:30] UserID: 7991366741, Command: sudo
[2024-10-19T23:44:49+05:30] UserID: 7991366741, Command: Hi
[2024-10-19T23:44:58+05:30] UserID: 7991366741, Command: ls
[2024-10-19T23:49:47+05:30] UserID: 7991366741, Command: sudo su
[2024-10-19T23:49:54+05:30] UserID: 7991366741, Command: whoami
[2024-10-20T01:58:04+05:30] UserID: 7991366741, Command: whoami
[2024-10-20T01:58:11+05:30] UserID: 7991366741, Command: mkdir test
[2024-10-20T01:58:13+05:30] UserID: 7991366741, Command: ls
[2024-10-20T01:58:22+05:30] UserID: 7991366741, Command: rm -rf test
[2024-10-20T01:58:25+05:30] UserID: 7991366741, Command: ls
[2024-10-20T01:58:33+05:30] UserID: 7991366741, Command: cd ..
[2024-10-20T01:58:36+05:30] UserID: 7991366741, Command: pwd
[2024-10-20T01:58:44+05:30] UserID: 7991366741, Command: cs ../
[2024-10-20T01:58:51+05:30] UserID: 7991366741, Command: cd ../
[2024-10-20T01:58:54+05:30] UserID: 7991366741, Command: pwd
[2024-10-20T01:59:26+05:30] UserID: 7991366741, Command: cd /home/ramees/
[2024-10-20T01:59:31+05:30] UserID: 7991366741, Command: ls
[2024-10-20T02:00:07+05:30] UserID: 7991366741, Command: ls
[2024-10-20T02:14:27+05:30] UserID: 7991366741, Command: pwd
[2024-10-20T02:14:33+05:30] UserID: 7991366741, Command: cd ../
[2024-10-20T02:15:54+05:30] UserID: 7991366741, Command: pwd
[2024-10-20T02:16:01+05:30] UserID: 7991366741, Command: cd ../
[2024-10-20T02:16:38+05:30] UserID: 7991366741, Command: sudo su
[2024-10-20T02:18:49+05:30] UserID: 7991366741, Command: sudo su
[2024-10-20T02:24:42+05:30] UserID: 7991366741, Command: sudo su
[2024-10-20T03:20:03+05:30] UserID: 1257658173, Command: /listsript
[2024-10-20T03:20:12+05:30] UserID: 1257658173, Command: /listscripts
[2024-10-20T05:49:27+05:30] UserID: 7991366741, Command: Hi
[2024-10-20T05:49:32+05:30] UserID: 7991366741, Command: ls
[2024-10-20T05:49:38+05:30] UserID: 7991366741, Command: sudo
